epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,18314.1,0.41971,0.3441,0.94315,0.94168,0.90845,0.93882,0.82463,0.54964,0.51763,0.98197,0.0006272,0.0006272,0.0006272
106,18434.8,0.39569,0.31343,0.9497,0.96147,0.87858,0.93838,0.8242,0.54473,0.54874,0.9694,0.000614,0.000614,0.000614
107,18555.8,0.37574,0.31114,0.94805,0.96009,0.88028,0.94812,0.83919,0.53838,0.5451,0.95038,0.0006008,0.0006008,0.0006008
108,18677,0.40378,0.34695,0.9526,0.90699,0.92254,0.93958,0.81699,0.56452,0.51869,0.98088,0.0005876,0.0005876,0.0005876
109,18797.6,0.41013,0.33311,0.96811,0.94565,0.90141,0.93404,0.81752,0.54594,0.5157,0.95574,0.0005744,0.0005744,0.0005744
110,18918.6,0.40914,0.34666,0.96432,0.94191,0.91349,0.94018,0.81127,0.54935,0.5335,0.96579,0.0005612,0.0005612,0.0005612
111,19039.1,0.3899,0.35094,0.95071,0.92229,0.92958,0.9494,0.83605,0.54175,0.52423,0.97274,0.000548,0.000548,0.000548
112,19167.3,0.38702,0.3301,0.9534,0.89026,0.92958,0.93308,0.83043,0.52708,0.54096,0.96029,0.0005348,0.0005348,0.0005348
113,19288,0.40686,0.32552,0.94004,0.94692,0.88732,0.93238,0.82271,0.54496,0.55446,0.97214,0.0005216,0.0005216,0.0005216
114,19409,0.38066,0.31101,0.92707,0.95385,0.87341,0.93727,0.82997,0.52976,0.5692,0.95841,0.0005084,0.0005084,0.0005084
115,19529.4,0.39099,0.33942,0.95931,0.92836,0.89437,0.93613,0.83013,0.53041,0.52335,0.95775,0.0004952,0.0004952,0.0004952
116,19650.2,0.37836,0.31904,0.95711,0.90949,0.92,0.927,0.82416,0.52397,0.5284,0.95791,0.000482,0.000482,0.000482
117,19770.8,0.39355,0.34668,0.93601,0.91006,0.92634,0.93222,0.83322,0.54172,0.53015,0.97359,0.0004688,0.0004688,0.0004688
118,19891.9,0.36442,0.29959,0.93504,0.94157,0.90784,0.9451,0.8216,0.52609,0.52868,0.94967,0.0004556,0.0004556,0.0004556
119,20013.4,0.39526,0.32248,0.93809,0.9087,0.92958,0.94459,0.82772,0.53421,0.53592,0.95481,0.0004424,0.0004424,0.0004424
120,20134.6,0.37856,0.32323,0.94016,0.90701,0.91549,0.93969,0.83003,0.53869,0.52353,0.95509,0.0004292,0.0004292,0.0004292
121,20255,0.37338,0.30243,0.91956,0.91997,0.91549,0.94813,0.84158,0.53314,0.51531,0.95817,0.000416,0.000416,0.000416
122,20376.3,0.35209,0.28877,0.92961,0.93839,0.90141,0.95312,0.85257,0.5197,0.50581,0.93781,0.0004028,0.0004028,0.0004028
123,20497.9,0.37823,0.31531,0.9385,0.93608,0.89437,0.95043,0.85625,0.51587,0.52024,0.93541,0.0003896,0.0003896,0.0003896
124,20618.4,0.36722,0.30707,0.9452,0.91612,0.92297,0.94775,0.84543,0.51695,0.53821,0.93808,0.0003764,0.0003764,0.0003764
125,20746.3,0.36775,0.31407,0.92541,0.92159,0.91549,0.94605,0.84483,0.50659,0.51882,0.929,0.0003632,0.0003632,0.0003632
126,20878,0.35746,0.29724,0.93342,0.93974,0.87855,0.94186,0.8424,0.52873,0.55633,0.9489,0.00035,0.00035,0.00035
127,21014.8,0.37914,0.30137,0.9285,0.91927,0.89437,0.94947,0.85109,0.5225,0.55237,0.9387,0.0003368,0.0003368,0.0003368
128,21140.8,0.37169,0.30277,0.9399,0.91829,0.91549,0.94505,0.83895,0.51857,0.51152,0.95607,0.0003236,0.0003236,0.0003236
129,21270.7,0.3564,0.304,0.94467,0.92823,0.91549,0.945,0.83788,0.51538,0.49729,0.95099,0.0003104,0.0003104,0.0003104
130,21406.3,0.36465,0.30361,0.94305,0.92799,0.90752,0.94859,0.84389,0.51839,0.491,0.94937,0.0002972,0.0002972,0.0002972
131,21539.2,0.35408,0.29646,0.93174,0.92487,0.90141,0.94024,0.84101,0.52817,0.51828,0.9696,0.000284,0.000284,0.000284
132,21672.6,0.35633,0.28193,0.93244,0.92742,0.89982,0.94423,0.84722,0.5329,0.50898,0.96284,0.0002708,0.0002708,0.0002708
133,21808.6,0.34204,0.27691,0.93425,0.93744,0.88732,0.9428,0.84885,0.52471,0.53773,0.9547,0.0002576,0.0002576,0.0002576
134,21938.5,0.3314,0.27513,0.93147,0.92138,0.90784,0.94407,0.84968,0.51613,0.51112,0.94551,0.0002444,0.0002444,0.0002444
135,22073.1,0.3698,0.28309,0.92892,0.92802,0.90789,0.9482,0.85214,0.51455,0.49752,0.94854,0.0002312,0.0002312,0.0002312
136,22210.5,0.33198,0.2747,0.92221,0.91564,0.91721,0.94618,0.85204,0.52503,0.49842,0.96287,0.000218,0.000218,0.000218
137,22334.9,0.3406,0.28294,0.9259,0.91807,0.92254,0.9487,0.85438,0.52942,0.51377,0.96679,0.0002048,0.0002048,0.0002048
138,22461.8,0.35699,0.29138,0.91738,0.91826,0.92254,0.94341,0.85589,0.5201,0.52191,0.95762,0.0001916,0.0001916,0.0001916
139,22594,0.32438,0.27554,0.92156,0.92924,0.92479,0.94751,0.85251,0.51373,0.52532,0.94719,0.0001784,0.0001784,0.0001784
140,22727.9,0.34847,0.28484,0.94141,0.93425,0.90059,0.94702,0.85099,0.52435,0.53036,0.95701,0.0001652,0.0001652,0.0001652
141,22858.1,0.27298,0.24213,0.86295,0.95186,0.8662,0.93693,0.84063,0.52698,0.53645,0.9548,0.000152,0.000152,0.000152
142,22984.4,0.26079,0.22024,0.86218,0.96089,0.86511,0.92799,0.82854,0.52482,0.58787,0.95675,0.0001388,0.0001388,0.0001388
143,23112.9,0.27123,0.26492,0.86074,0.95347,0.86587,0.92022,0.82432,0.5173,0.59369,0.95854,0.0001256,0.0001256,0.0001256
144,23251.9,0.26239,0.21179,0.85535,0.94578,0.87324,0.93466,0.83944,0.5242,0.57127,0.96532,0.0001124,0.0001124,0.0001124
145,23385.6,0.26936,0.20731,0.86776,0.95533,0.8662,0.93924,0.84269,0.52077,0.54028,0.95563,9.92e-05,9.92e-05,9.92e-05
146,23515.1,0.26,0.21508,0.84642,0.91696,0.89437,0.93786,0.84206,0.52029,0.5336,0.95714,8.6e-05,8.6e-05,8.6e-05
147,23647,0.25638,0.20261,0.86302,0.94611,0.8655,0.93716,0.83843,0.52289,0.53301,0.95903,7.28e-05,7.28e-05,7.28e-05
148,23778.5,0.24627,0.19297,0.84518,0.95375,0.87137,0.93715,0.83806,0.51964,0.53427,0.95347,5.96e-05,5.96e-05,5.96e-05
149,23905,0.25038,0.19554,0.84954,0.95467,0.8662,0.9375,0.84196,0.51924,0.53399,0.95485,4.64e-05,4.64e-05,4.64e-05
150,24045.3,0.27289,0.20042,0.85606,0.96441,0.8662,0.93855,0.84259,0.5177,0.53197,0.95557,3.32e-05,3.32e-05,3.32e-05
